	36	36	39	42	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170
35	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	A3	A3	A4	A4	A4			
30	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	A3	A3	A4	A4	A4			
29	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	A3	A3	A4	A4	A4			
28	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	A3	A3	A4	A4	A4			
27	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J3	J3	A3	A3	A4	A4	A4			
26	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J3	J3	J3	J3	J3	J3	A3	A3	A4	A4	A4			
25	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J4	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	A3	A3	A4	A4	A4			
24	J4	J4	J4	J4	J4	J4	J4	J4	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	A3	A3	A3	A4	A4	A4	A4			
23	J4	J4	J4	J4	J4	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	A3	A3	A3	A4	A4	A4	A4	A4		
22	J4	J4	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	A3	A3	A3	A4	A4	A4	A4	A4		
21	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A4	
20	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	A3	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A4	
19	J3	J3	J3	J3	J3	J3	J3	J3	J3	J3	J2	J2	J2	J2	J2	A0	A3	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A2	
18	J3	J3	J3	J3	J3	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	A0	A3	A3	A3	A3	A3	A3	A4	A4	A4	A4	A2	A2	
17	J3	J3	J3	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	A0	A0	A3	A3	A3	A3	A3	A3	A4	A4	A2	A2	A2	A2	
16	J3	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	A0	A0	A0	A3	A3	A3	A3	A3	A3	A4	A2	A2	A2	A2	A2	
15	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	A0	A0	A0	A3	A3	A3	A3	A3	A3	A2	A2	A2	A2	A2	A2	
14	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	A0	A0	A0	A3	A3	A3	A3	A3	A2	A2	A2	A2	A2	A2	A2	
13	J2	J2	J2	J2	J2	J2	J2	J2	J2	J2	J1	J1	A0	A0	A0	A3	A3	A3	A3	A3	A3	A2	A2	A2	A2	A2	A2		
12	J2	J2	J2	J2	J2	J2	J2	J1	J1	J1	J1	A0	A0	A0	A0	A3	A3	A3	A3	A3	A2	A2	A2	A2	A2	A2			
11	J2	J2	J2	J2	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A3	A3	A3	A3	A2	A2	A2	A2	A2					
10	J2	J2	J2	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A0	A3	A3	A3	A2	A2	A2	A2	A2	A2					
9	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A0	A0	A3	A3	A2	A2	A2	A2	A2	A2					
8	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A0	A0	A0	A2	A2	A2	A2	A2	A2	A2					
7	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A0	A0	A0	A2	A2	A2	A2	A2	A2	A2					
6	J1	J1	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A0	A0	A0	A2	A2	A2	A2	A2	A2	A2	A2					
5	J1	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A0	A0	A0	A0	A2	A2	A2	A2	A2	A2	A2	A2					
4	J1	J1	J1	J1	J1	J1	J1	J1	A0	A0	A0	A0	A0	A0	A0	A2	A2	A2	A2	A2	A2	A2	A2	A2					
